nr of samples;Sample ID;[C] m/m in %;?13C (‰ v.s. V-PDB);Batch;;;;;;;
141;18-3767;43,80;-29,42;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
142;16-3716;45,78;-29,39;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
143;12-3671;45,24;-30,15;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
144;10-3719;43,20;-27,95;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
145;13-310;44,28;-27,35;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
146;13-329;45,54;-26,13;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
147;10-245;36,56;-27,65;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
148;13-332;44,80;-28,01;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
149;10-240;44,25;-27,86;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
150;12-3683;44,19;-29,60;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
151;11-270;43,13;-27,67;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
152;11-275;45,39;-30,70;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
153;46232;44,00;-27,49;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
154;11-267;49,73;-30,49;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
155;16-3739;44,10;-29,61;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
156;p1-230;45,46;-29,29;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
157;46142;48,81;-26,14;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
158;p9-235;43,26;-30,19;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
159;10-246;45,18;-27,17;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
160;18-3669;43,79;-28,28;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
161;10-3694;44,54;-29,94;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
162;12-288;42,06;-29,18;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
163;11-261;45,11;-27,92;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
164;10-242;42,91;-29,62;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
165;09-3729;46,34;-32,40;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
166;13-312;43,49;-27,37;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
167;69-8893;43,50;-33,71;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
168;11-3697;46,39;-29,76;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
169;10-3699;46,78;-26,81;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
170;10-239;44,33;-28,67;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
171;12-289;43,89;-29,46;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
172;13-314;44,38;-27,86;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
173;16-3747;44,36;-31,04;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
174;jh-3928;45,59;-32,85;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
175;jh-3889;46,35;-33,02;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
176;jh-3838;44,77;-28,72;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
177;jh-3897;45,5;-28,17;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
178;jh-3899;46,23;-30,4;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
179;jh-2529;43,84;-32,97;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
180;jh-3608;45,67;-30,58;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
181;jh-3200;50,61;-31,34;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
182;jh-3582;46,66;-29,63;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
183;jh-3918;45,42;-31,66;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
184;jh-3919;45,96;-34,74;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
185;jh-3923;45,04;-31,56;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
186;jh-3706;44,99;-30,11;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
187;jh-3850;44,35;-31,5;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
188;jh-2317;46,68;-29,97;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
189;jh-3875;44,57;-31,02;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
190;jh-3880;44,74;-31,46;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
191;jh-3199;46,84;-30,1;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
192;p69-8899;45,58;-31,71;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
193;p70-3658;45,45;-32,26;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
194;jh-3922;45,07;-28,4;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
195;p70-3624;52,95;-32,36;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
196;p69-8894;46,54;-30,79;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
197;p70-3631;43,77;-31,43;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
198;p74-8830;45,35;-30,61;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
199;p72-8693;47,23;-32,18;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
200;p74-8839;47,43;-33,56;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
201;p74-8855;44,84;-32,69;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
202;p74-8829;49,45;-32,67;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
203;p10-3716;43,95;-29,85;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
204;p10-3711;46,03;-29,43;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
205;p11-3701;44;-29,58;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
206;p09-3732;44,13;-28,99;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
207;p09-3730;46,64;-30,84;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
208;p09-3734;43,52;-30,17;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
209;p09-3733;47,83;-30,5;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
210;p09-3735;45,85;-28,06;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
211;p12-3678;45,7;-28,51;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
212;p12-3669;45,09;-29,57;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
213;p12-3682;45,83;-30,7;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
214;p18-3763;45,75;-30,22;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
215;p10-3714;44,44;-29,42;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
216;p11-3706;47,53;-29,99;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
217;p11-3695;44,59;-29,18;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
218;p10-3712;46,28;-31,2;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
219;jh-3892;47,31;-34,21;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
220;jh-3925;44;-32,37;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
221;jh-3607;46,08;-26,49;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
222;3872;48,25;-30,87;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
223;jh-3580;44,17;-31,78;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
224;jh-3927;45,26;-33,6;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
225;jh-4779;45,05;-30,27;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
226;3896;46,62;-29,6;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
227;p10-241;44,38;-28,45;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
228;3885;45,22;-30,05;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
229;jh-4769;44,83;-31,59;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
230;jh-3723;40,11;-31,02;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
231;jh-4774;44,19;-30,84;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
232;jh-4776;45,38;-33,85;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
233;jh-3854;46,16;-31,73;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
234;jh-3853;43,96;-26,92;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
235;jh-3696;46,66;-25,47;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
236;jh-3703;45,47;-33,67;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
237;jh-3662;47,76;-29,3;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
238;jh-4771;45,63;-30,8;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
239;jh-3601;45,63;-29,26;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
240;jh-3579;44,99;-30,63;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
241;jh-3840;41,64;-32,33;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
242;jh-4770;43,73;-30,69;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
243;jh-3929;46,39;-30,97;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
244;jh-3842;42,58;-30,5;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
245;jh-3888;46,37;-32,66;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
246;jh-3882;51,15;-33,49;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
247;jh-3855;38,87;-31,99;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
248;jh-4772;44,6;-33,06;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
249;jh-3195;43,28;-31,33;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
250;jh-3212;45,87;-32,32;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
251;jh-3920;44,32;-32,58;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
252;jh-3197;57,5;-33,69;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
253;jh-3924;46,6;-27,68;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
254;jh-4773;49,84;-35,43;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
255;jh-3844;43,7;-32,18;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
256;jh-3264;46,05;-32,28;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
257;jh-3897;42,93;-27,39;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
258;jh-3900;44,95;-30,58;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
259;jh-3589;43,11;-28,93;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
260;jh-3901;45,33;-31,74;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
261;jh-3881;44,69;-31,61;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
262;jh-3707;59,24;-29,78;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
263;jh-3611;45,19;-26,2;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
264;jh-3595;45,05;-28,6;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
