numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA135639	3816	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Trichilia	quadrijuga		Ecuador	Napo	Desconocido	Desconocido	Area of the biological station Jatun Sacha.	Area of the biological station Jatun Sacha. 1°4'0'' 77°37'0'' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA135778	3800	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Trichilia	septentrionalis		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'0'' 77°35'0'' -0.816667,-77.5833 SW 1060 		1060			-0.816667	-77.5833		2008-04-07T00:00:00	2008-04-07T00:00:00					J. Homeier		0			
QCA136187	2353	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Zygia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras	Cordillera Galleras 0°49'0'' 77°35''' -0.816667,-77.5833 SW 1060 		1060			-0.816667	-77.5833		2006-04-16T00:00:00	2006-04-16T00:00:00					J. Homeier		0			
QCA136315	3595	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1590 		1590			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier	2008-01-01T00:00:00	0			
QCA136550	2248	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Nectandra	crassiloba		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco, Galeras, southern slope of Sumaco volcano.	Parque Nacional Sumaco, Galeras, southern slope of Sumaco volcano. 0°35'0'' 77°35'0'' -0.583333,-77.5833 SW 2010 		2010			-0.583333	-77.5833		2006-04-06T00:00:00	2006-04-06T00:00:00					J. Homeier		0			
QCA136676	3575	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50'0'' 77°32'0'' -0.833333,-77.5333 SW 1600 		1600			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA136677	3571	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50'0'' 77°32'0'' -0.833333,-77.5333 SW 1560 		1560			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA137136	2317	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Naucleopsis	ulei		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, Cordillera Galleras.	Parque Nacional Sumaco Galeras, Cordillera Galleras. 0°49''' 77°32''' -0.816667,-77.5333 SW 1560 		1560			-0.816667	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA137203	2212	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Perebea	guianensis		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos close to road Cosanga, Tena.	Cordillera de Guacamayos close to road Cosanga, Tena. 0°40''' 77°48''' -0.666667,-77.8 SW 1490 		1490			-0.666667	-77.8		2006-03-31T00:00:00	2006-03-31T00:00:00		pseudopeltata			J. Homeier		0			
QCA137626	2238	Plantae	Tracheophyta	Magnoliopsida	Ericales	Clethraceae	Clethra	fagifolia		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, 6 km SE of Cosanga.	Cordillera de Guacamayos, 6 km SE of Cosanga. 0°38''' 77°50''' -0.633333,-77.8333 SW 1990 		1990			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00			fagifolia		J. Homeier		0			
