Site,Plot,PlotID,Year,Sample_ID,old_treeID,new_TreeID,family,genus,species,Type,C_percent,d13C_permil,N_percent,Cb_percent,d15N_permil,bulk_d13C_permil,herbarium_id,source_file,Elevation_m
Sumaco,9.0,Sumaco_9,2025,p09-3734,,3734.0,Sapindaceae,Allophylus,floribundus,,43.52,-30.17,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3728,,3728.0,Solanaceae,Solanum,cf anisophyllum,,41.3386472132902,-30.5557000095552,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3719,238.0,3719.0,Clusiaceae,Chrysochlamys,membranacea,,43.2029373758143,-27.9462456467753,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3725,244.0,3725.0,Salicaceae,Casearia,tachirensis,,44.8953963013407,-29.7281516293912,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3723,246.0,3723.0,Clusiaceae,Chrysochlamys,membranacea,,44.0046885175879,-31.024169600788,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3712,247.0,3712.0,Metteniusaceae,Calatola,costaricensis,,46.28,-31.2,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3711,249.0,3711.0,Myrtaceae,Myrcia,aliena,,46.03,-29.43,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3714,251.0,3714.0,Moraceae,Ficus,cuatrecasana,,44.44,-29.42,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3716,254.0,3716.0,Sabiaceae,Meliosma,frondosa,,43.95,-29.85,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3715,,8885.0,Melastomataceae,Miconia,aff glaucescens,,36.69,-29.13,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2025,p10-3708,,3708.0,Solanaceae,Solanum,cf anisophyllum,,44.4056776989552,-29.2042613115713,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,11.0,Sumaco_11,2025,p11-3695,259.0,3695.0,Fabaceae,Erythrina,edulis,,44.59,-29.18,,,,,,Sumaco_cellulose.xlsx,2000.0
